dateCut,timeCut,joinpoint,count,retweets,fake_month,fake_hour
16,18,16 18,20,12673.3,16,18
16,19,16 19,25,11321.56,16,19
16,20,16 20,28,12788.42857142857,16,20
16,21,16 21,19,11713.157894736842,16,21
16,22,16 22,36,12206.777777777777,16,22
16,23,16 23,37,14354.405405405405,16,23
16,24,16 24,15,11845.0,16,24
17,1,17 1,7,10873.857142857143,17,1
17,2,17 2,2,16552.5,17,2
17,3,17 3,6,31777.0,17,3
17,4,17 4,4,9609.25,17,4
17,5,17 5,5,10169.6,17,5
NA,NA,17 6,NA,NA,17,6
17,7,17 7,3,13767.0,17,7
NA,NA,17 8,NA,NA,17,8
NA,NA,17 9,NA,NA,17,9
NA,NA,17 10,NA,NA,17,10
17,11,17 11,2,23965.0,17,11
17,12,17 12,3,28158.333333333332,17,12
17,13,17 13,4,17849.75,17,13
17,14,17 14,5,22805.4,17,14
17,15,17 15,2,32192.0,17,15
17,16,17 16,3,24583.0,17,16
17,17,17 17,5,12749.6,17,17
17,18,17 18,4,10759.0,17,18
17,19,17 19,8,14451.25,17,19
17,20,17 20,7,23348.285714285714,17,20
17,21,17 21,5,11198.8,17,21
17,22,17 22,19,13290.21052631579,17,22
17,23,17 23,1,12556.0,17,23
17,24,17 24,13,13909.538461538461,17,24
